"NAME","Jan 2014 - Dec 2014","Apr 2014 - Mar 2015","Jul 2014 - Jun 2015","Oct 2014 - Sep 2015","Jan 2015 - Dec 2015","Apr 2015 - Mar 2016","Jul 2015 - Jun 2016","Oct 2015 - Sep 2016","Jan 2016 - Dec 2016","Apr 2016 - Mar 2017","Jul 2016 - Jun 2017","Oct 2016 - Sep 2017","Jan 2017 - Dec 2017","Apr 2017 - Mar 2018","Jul 2017 - Jun 2018","Oct 2017 - Sep 2018","Jan 2018 - Dec 2018","Apr 2018 - Mar 2019","Jul 2018 - Jun 2019","Oct 2018 - Sep 2019","Jan 2019 - Dec 2019","Apr 2019 - Mar 2020","Jul 2019 - Jun 2020","Oct 2019 - Sep 2020"
"Sawtry",206409,213582,213995,220769,221584,224477,229425,237913,243682,250404,253777,256000,261288,262412,267430,258267,270220,275035,296319,303668,294213,290321,271726,259604
"Somersham",197608,194583,187652,195755,212014,226374,236721,237549,237850,234586,239364,238313,237327,231932,233126,247133,267852,265035,269267,267083,254953,278977,276153,296306
"Stilton, Folksworth & Washingley",267254,270080,259307,276441,280618,289867,308487,338449,343086,353750,366740,351542,340803,344896,343611,338889,362269,375231,373062,391360,390302,371735,376221,381119
"The Stukeleys",208089,216509,205319,209040,224228,222174,245809,259565,257751,269074,273592,274267,279846,288180,287222,308761,310083,304249,299644,284777,289897,297464,304161,298173
"Warboys",225041,225997,219128,238047,241752,249570,250582,256996,254298,251913,264373,271537,307029,303892,307260,307715,287029,299143,303124,308644,323716,318205,308483,304131
"Yaxley",167772,172465,172654,181997,186513,190774,197644,199838,200597,202416,206251,212082,217723,222209,219577,220113,219957,218365,231740,233420,237502,240648,234064,239787
"Balsham",351331,373879,386831,373512,397483,374983,378620,361234,418101,426624,434488,442374,418030,391708,410484,433913,431497,495009,479756,484009,484519,430420,437648,440534
"Bar Hill",214471,220514,232696,241607,247549,248997,246668,252336,258930,268488,273321,277307,271117,260630,261652,262812,263981,273319,264119,260175,267560,269700,281892,290382
"Barrington",403860,402906,422163,425667,467608,503569,511852,541019,515027,495029,492897,534493,521157,512371,525895,472492,478434,479909,476451,491695,534019,589176,610865,624338
"Bassingbourn",302465,291314,294398,318298,360088,362682,369752,383829,384106,403107,394485,379832,385038,375872,372435,395253,373279,392591,397359,394182,452887,445683,461422,472516
"Caldecote",317739,336102,343195,371267,415579,421713,429607,404813,392950,381071,393021,436203,437304,442919,443860,430602,439741,425491,418738,431039,426778,439688,454389,414406
"Cambourne",245858,247383,259300,277876,287703,286643,297132,299881,302655,314143,317688,312510,316476,313493,306982,313079,325304,325581,329076,323624,301098,301238,294855,307728
